Minimum(Ph),Maximum(Ph),Average(PH),Minimum(pt),Maximum(Pt),Average(Pt),Minimum(ct),Maximum(ct),Average(ct),Minimum(ic),Maximum(ic),Average(ic),Minimum(d),Maximum(d),Average(d),Minimum(O),Maximum(O),Average(0),
3,11,7,300,500,400,0.5,7500,3750.25,20,400,210,0.01,0.05,0.03,21,90,55.5,
2,7,4.5,300,500,400,0.5,120,60.25,5,20,12.5,0.01,5,0,27,96,61.5,
2,7,4.5,300,500,400,5,600,302.5,5,10,7.5,0.01,0.3,0.155,25,75,50,
2,10,6,300,500,400,5,300,152.5,5,1000,502.5,0.2,1,0.6,20,80,50,
2,7,4.5,300,450,375,0.5,1100,550.25,180,600,390,0.1,1,0.55,21,99,60,
5.5,7.5,6.5,300,500,400,0.5,1440,720.25,20,40,30,0.3,0.7,0.5,86,100,93,
2,10,6,300,500,400,0.5,500,250.25,240,480,360,0.1,0.5,0.3,21,53,37,
3,9,6,400,600,500,0.5,180,90.25,5.25,100,52.625,0.01,5,2.505,52.27,99.13,75.7,
3,6,4.5,300,500,400,7200,12000,9600,5,250,127.5,0.01,0.4,0.205,60,75,67.5,
2,10,6,300,500,400,5,480,242.5,200,800,500,0.01,0.05,0.03,21,99,60,
3,10,6.5,300,600,450,0.5,500,250.25,15,50,32.5,0.01,5,2.505,21,99,60,
2,10,6,300,500,400,0.5,900,450.25,200,800,500,0.01,0.1,0.055,21,99,60,
3,11,7,500,900,700,5,480,242.5,90,150,120,0.01,5,2.505,21,99,60,
2,7,4.5,300,500,400,10,300,155,50,200,125,0.01,5,2.505,52.71,98.78,75.745,
2.2,10.4,6.3,288,308,298,5,90,47.5,100,700,400,0.01,2.5,1.255,45,97,71,
3,11,7,300,700,500,0.5,1440,720.25,10,200,105,0.01,0.01,0.01,21,53,37,
2,10,6,300,700,500,1,360,180.5,10,100,55,0.01,0.5,0.255,21,90.91,55.955,
3,12,7.5,300,800,550,1,60,30.5,10,100,55,0.53,2,1.265,21,92,56.5,
4,9,6.5,400,800,600,0.5,120,60.25,0.5,100,50.25,0.025,0.5,0.2625,21,91,56,
2,11,6.5,400,600,500,30,360,195,0.5,32,16.25,0.01,3,1.505,21,96.7,58.85,
2,10,6,207,617,412,0.5,60,30.25,100,200,150,0.01,5,2.505,21,87.8,54.4,
3,12,7.5,300,400,350,0.5,360,180.25,2,100,51,0.01,10,5.005,21,97.6,59.3,
2,9,5.5,300,500,400,0.5,90,45.25,10,50,30,0.01,1,0.505,21,98.7,59.85,
2,10,6,300,600,450,30,2880,1455,5,100,52.5,0.01,0.01,0.01,21,81,51,
3,10,6.5,300,700,500,0.5,650,325.25,10,200,105,0.01,0.5,0.255,21,99,60,
3,11,7,300,700,500,5,120,62.5,10,40,25,0.25,4,2.125,21,89,55,
3,11,7,300,600,450,0.5,60,30.25,20,200,110,0.01,0.4,0.205,21,99,60,
3,11,7,300,500,400,0.5,500,250.25,2,20,11,0.01,0.2,0.105,21,54.6,37.8,
2,10,6,300,450,375,15,120,67.5,5,100,52.5,0.25,1.25,0.75,21,77.78,49.39,
3,11,7,550,900,725,0.5,6000,3000.25,50,600,325,0.01,4,2.005,12,45,28.5,
3,10,6.5,300,500,400,0.5,500,250.25,5,500,252.5,0.3,0.8,0.55,21,99,60,
2,9,5.5,300,600,450,4.8,960,482.4,25,500,262.5,0.5,10,5.25,21,81,51,
6.5,7.5,7,600,800,700,0.5,3000,1500.25,50,300,175,0.01,0.2,0.105,21,99,60,
2,10,6,300,600,450,0.5,500,250.25,5,100,52.5,0.01,5,2.505,21,78,49.5,
3,9,6,300,400,350,5,720,362.5,20,200,110,0.2,4,2.1,21,91,56,
4,8,6,400,700,550,5,1440,722.5,10,100,55,0.005,0.03,0.0175,21,93,57,
4,9,6.5,300,400,350,0.5,240,120.25,0.5,100,50.25,0.025,0.5,0.2625,21,99,60,
2,12,7,400,800,600,0.5,180,90.25,20,220,120,0.01,0.02,0.015,21,95,58,
3,9,6,450,650,550,5,1440,722.5,60,300,180,0.01,0.15,0.08,21,99,60,
3,8,5.5,300,750,525,0.5,6000,3000.25,10,100,55,0.01,0.01,0.01,21,99,60,
3,10,6.5,300,675,487.5,0.5,750,375.25,1,50,25.5,0.025,0.075,0.05,21,99.79,60.395,
4,10,7,400,600,500,0.5,1500,750.25,50,200,125,0.01,0.4,0.205,21,99,60,
4,11,7.5,300,800,550,0.5,300,150.25,5,500,252.5,0.2,1.2,0.7,21,99,60,
3,12,7.5,400,700,550,0.5,60,30.25,100,200,150,0.02,0.06,0.04,21,98.45,59.725,
3,11,7,300,700,500,0.5,1500,750.25,10,100,55,0.01,5,2.505,21,99,60,
3,11,7,600,800,700,0.5,600,300.25,10,200,105,0.01,0.1,0.055,21,86,53.5,
